vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,14376,2022-01-01
Mariflor Arthur & Theo,Rolland Wine Collection,14376,2022-01-01
Mariflor Raphael,Rolland Wine Collection,14376,2022-01-01
EL CLA 2015,Cuvelier Los Andes,10886,2022-01-01
Marcelo Pelleriti Grand Cuvee,Marcelo Pelleriti Wines,6525,2022-01-01
Cobos Malbec Marchiori 2016,Cobos (Hobbs – Marchiori – Barraud),62000,2022-01-01
Cobos Malbec Marchiori 2018,Cobos (Hobbs – Marchiori – Barraud),56000,2022-01-01
Cobos Volturno 2018,Cobos (Hobbs – Marchiori – Barraud),48000,2022-01-01
Viña Cobos Marchiori Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),12000,2022-01-01
Viña Cobos Marchiori Estate Cabernet Sauvignon,Cobos (Hobbs – Marchiori – Barraud),12000,2022-01-01
Viña Cobos Chañares Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),12000,2022-01-01
Viña Cobos Chañares Estate Cabernet Franc,Cobos (Hobbs – Marchiori – Barraud),12000,2022-01-01
Viña Cobos Zingaretti Estate Malbec,Cobos (Hobbs – Marchiori – Barraud),12000,2022-01-01
Bramare Chañares Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,12000,2022-01-01
Bramare Touza Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,12000,2022-01-01
Bramare Zingaretti Vineyard Designated Malbec 2017,Viña Cobos - Cosechas Anteriores,12000,2022-01-01
Marchiori & Barraud Corte,Marchiori & Barraud,5250,2022-01-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,2100,2022-01-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,1575,2022-01-01
Pispi Blend,Mosquita Muerta Wines,1260,2022-01-01
"Benmarco ""Sin Limites"" Malbec Gualtallary",Susana Balbo Wines,1911,2022-01-01
"Benmarco ""Sin Limites"" Malbec El Pedernal",Susana Balbo Wines,1911,2022-01-01
"Benmarco ""Sin Limites"" Malbec Organico Valle de Uco",Susana Balbo Wines,1911,2022-01-01
Susana Balbo Signature White Blend,Susana Balbo Wines,2450,2022-01-01
Kaiken Mai,Kaiken,5250,2022-01-01
Mendel Finca Remota Blend,Mendel Wines,7200,2022-01-01
Varúa Blend 2017,Finca La Anita,3640,2022-01-01
Nico by Luca,Laura Catena Wines – Bodega Luca,8736,2022-01-01
Domaine Nico Pinot Noir - Parcela Le Paradis,Laura Catena Wines – Domaine Nico,24892,2022-01-01
Estancia Uspallata Malbec,Estancia Uspallata,4800,2022-01-01
Estancia Uspallata Pinot Noir,Estancia Uspallata,3896,2022-01-01
Per Se  Jubileus Malbec 2018,Per Se – Bonomi & Del Popolo,29700,2022-01-01
Pachamama Malbec,Matervini,3600,2022-01-01
"La Dama del Abrigo Rojo, Nebbiolo",Ver Sacrum,7650,2022-01-01
Socavones Reserva Malbec,"Tierra Camiare, Colonia Caroya, Cordoba",1200,2022-01-01
Socavones Reserva Cabernet - Cabernet,"Tierra Camiare, Colonia Caroya, Cordoba",1200,2022-01-01
Estereo Cabernet Franc,Viña Los Chocos,6000,2022-01-01
Viña Los Chocos Parcela 79 Malbec - Cabernet Franc,Viña Los Chocos,3920,2022-01-01
Viña Los Chocos Parcela 5 Pinot Noir,Viña Los Chocos,3920,2022-01-01
Zuccardi Piedra Infinita Gravascal Malbec 2016,Familia Zuccardi,28791,2022-01-01
Zuccardi Piedra Infinita Malbec 2016,Familia Zuccardi,23310,2022-01-01
Zuccardi Piedra Infinita Malbec 2017,Familia Zuccardi,16650,2022-01-01
Zuccardi Finca Canal Uco Malbec 2017,Familia Zuccardi,15570,2022-01-01
Las Perdices Alae Malbec,Viña Las Perdices,5705,2022-01-01
Las Perdices Reserva Don Juan,Viña Las Perdices,2135,2022-01-01
Las Perdices Espumante Champenoise Brut Nature,Viña Las Perdices,1085,2022-01-01
Las Perdices Espumante Champenoise Rosado,Viña Las Perdices,1085,2022-01-01
Las Perdices Espumante Champenoise Extra Brut,Viña Las Perdices,966,2022-01-01
Las Perdices Viognier Cosecha Tardia x 500 ml.,Viña Las Perdices,966,2022-01-01
D.V. Catena Adrianna Malbec Tupungato Alto,Catena Zapata,3885,2022-01-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,3622,2022-01-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,3622,2022-01-01
D.V. Catena Espumante Nature,Catena Zapata,2722,2022-01-01
Angelica Zapata Malbec,Catena Zapata,4012,2022-01-01
Angelica Zapata Cabernet Franc,Catena Zapata,2850,2022-01-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,2242,2022-01-01
Angelica Zapata Chardonnay,Catena Zapata,2070,2022-01-01
Angelica Zapata Merlot,Catena Zapata,2062,2022-01-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,2587,2022-01-01
D.V. Catena Malbec - Malbec,Catena Zapata,2497,2022-01-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,2130,2022-01-01
D.V. Catena Syrah - Syrah,Catena Zapata,1800,2022-01-01
D.V. Catena Cabernet - Malbec,Catena Zapata,1293,2022-01-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,1293,2022-01-01
Saint Felicien Bonarda,Catena Zapata,2242,2022-01-01
Nicolas Catena Zapata 2017,Catena Zapata (Ediciones limitadas),16200,2022-01-01
Catena Zapata Malbec Argentino 2018,Catena Zapata (Ediciones limitadas),13500,2022-01-01
Saint Felicien Rose,Catena Zapata (Ediciones limitadas),4050,2022-01-01
Nicola Catena Bonarda,Catena Zapata (Ediciones limitadas),5634,2022-01-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2011,Catena Zapata (Ediciones limitadas),91620,2022-01-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2014,Catena Zapata (Ediciones limitadas),75780,2022-01-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2015,Catena Zapata (Ediciones limitadas),68850,2022-01-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2016,Catena Zapata (Ediciones limitadas),62640,2022-01-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2017,Catena Zapata (Ediciones limitadas),56925,2022-01-01
Adrianna Vineyard - Mundus Bacillus Terrae - Malbec 2018,Catena Zapata (Ediciones limitadas),51840,2022-01-01
Adrianna Vineyard - River Stones - Malbec 2017,Catena Zapata (Ediciones limitadas),25290,2022-01-01
Adrianna Vineyard - River Stones - Malbec 2018,Catena Zapata (Ediciones limitadas),22590,2022-01-01
Adrianna Vineyard - Fortuna Terrae Malbec 2017,Catena Zapata (Ediciones limitadas),19890,2022-01-01
Adrianna Vineyard - Fortuna Terrae Malbec 2018,Catena Zapata (Ediciones limitadas),18090,2022-01-01
Adrianna Vineyard - White Bones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),21960,2022-01-01
Adrianna Vineyard - White Bones - Chardonnay 2019,Catena Zapata (Ediciones limitadas),19530,2022-01-01
Adrianna Vineyard - White Stones - Chardonnay 2018,Catena Zapata (Ediciones limitadas),17190,2022-01-01
Adrianna Vineyard - White Stones - Chardonnay 2019,Catena Zapata (Ediciones limitadas),15660,2022-01-01
Don Malbec,Escorihuela Gascón,6230,2022-01-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,3920,2022-01-01
The President Blend,Escorihuela Gascón,2842,2022-01-01
Pequeñas Producciones Malbec,Escorihuela Gascón,2345,2022-01-01
Pequeñas Producciones Syrah,Escorihuela Gascón,2345,2022-01-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,2345,2022-01-01
Pequeñas Producciones Pinot Noir,Escorihuela Gascón,2345,2022-01-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,2345,2022-01-01
Rutini Rose de Malbec,La Rural,4106,2022-01-01
Coleccion Rutini Malbec x 375 ml.,La Rural,1672,2022-01-01
Colección Rutini Cabernet Sauvignon - Malbec x 375 ml.,La Rural,1028,2022-01-01
Luigi Bosca Icono 2011,Luigi Bosca,16575,2022-01-01
Luigi Bosca Icono 2015,Luigi Bosca,12712,2022-01-01
Luigi Bosca Icono 2018,Luigi Bosca,10170,2022-01-01
Finca Los Nobles Cabernet Bouchet,Luigi Bosca,4065,2022-01-01
